,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"464480605,540486895,536133920,536494827,538110878,572584133","5929502214,8287419167,2753721275,3268762595,1837541637,1374661995","1166407688,1365010143,1368136456,1368787538,1370372975,1457150947","15307205199,21052135455,7051753480,8437853408,4643138413,3495354007"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"91096185,114399397,114407731,118934988,152751020,192679120","659160895,773994575,263458435,335828873,214815723,224102747","227856562,286812023,282352601,291426486,396048330,487183989","1694149427,1966876573,672026829,852560496,542165867,546554242"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"316721,1651471,2027885,2140816,2225977,5186077","1944807,10458657,4556728,5598557,3580302,2919479","583934,1872671,2259546,2417713,2619215,6079074","3695549,13932037,5578881,7100332,5024289,3766731"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"68470305,14065087,11567501,12179710,12957527,29883683","336576678,38594421,13218520,17351113,11021068,9496353","185716299,174068335,86101332,82975389,77425416,115023281","944104644,697391785,143181682,173520920,112607618,72833153"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"17485001,4977145,4652014,6346513,4013345,10267658","150313470,4568757,1482380,6099746,2213067,3552772","60759172,17578227,16744858,17947698,17230403,47540157","453705104,26215435,8829713,16101793,10200682,8651497"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5293443,19838996,20642037,20113352,20659154,20145132","123554061,188613137,64084864,75002196,42822967,32130365","11533471,48787986,50644413,50356786,51061292,49878515","308726330,485109186,164307221,194656412,108212113,81912706"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1283808,14179529,13851293,13004033,10156957,8653463","52046754,136330349,50963056,62940613,35637612,26141290","2351045,44806560,45354347,44901703,44166968,41097857","123518300,439618375,155162608,186993940,101192112,77888570"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1570491301,1796843555,1800804748,1821522067,1942823824,2153961895","22457612201,25827667492,8582073284,10214981833,5741070415,4614896482","3959628429,4534362770,4533012424,4580683683,4977667437,5427200189","58447051822,67065586736,22393859234,26723532964,14867052051,11835904715"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"27871,20636,39025,39373,36783,44804","43283,117015,72852,85439,59830,50091","36401,21948,33762,41781,43889,56008","274686,131695,96106,127800,71091,81501"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"91096186,114393514,113816211,118803893,148113679,195068215","659160895,804892002,265663392,334301966,219152951,222274435","227856546,286577917,282076308,291182234,393876744,490836759","1694149427,1971732531,668890088,845589518,543940859,548461128"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"50,709,2165,2274,1575,6793","478,430,4828,4317,5385,4203","138,382,1485,1818,1410,4583","1345,545,5787,3463,2903,5810"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"1947249590,1868275667,2018191269,2477895067,2716475731,4068270732","15279000121,15556706839,5955716544,8101492692,5380698984,5576121191","5916446642,6310682051,6534435740,7801740172,9382578978,14638644643","41946298975,47291805703,16464821030,23005712310,15875011339,15804809237"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1670179777,796636517,939544964,1307818770,1605240262,2572221567","11271704316,1456146162,795590183,1727441587,1371624849,2161295113","5239757464,3643752431,3488092431,4339423577,5836995819,9002489422","31886886412,10618598104,3406240477,5548283195,5078525488,6152154338"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1077203688,511268334,518658452,803410640,639946336,1394447190","8531292964,398401854,175976161,685985213,349366945,650640967","3731253690,1642256521,2056164095,2644084349,2578812603,6352083850","24662195600,2344413454,1003611626,1849534653,1489705180,1522414164"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1445748294,1222243038,1252332149,1743703165,2018408210,3070091537","10042581801,5831329526,2678018119,4112415259,3214856267,3866529423","4656776321,4470052158,4602658293,5977260702,7469709192,11619782012","29283535133,23411549703,8872123606,13135195640,10298070368,11429583242"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1344431283,622371236,747792525,1076470856,1385290470,2196838681","9151128304,955637311,571705837,1391046021,1184465904,1920739125","4386600754,2830066616,2831850677,3573911951,4850671241,7792130739","27088675554,7763382030,2670405962,4155690894,4040111284,5188184574"
CYCLE_ACTIVITY:STALLS_L3_MISS,"952857281,439913548,475276596,712736373,577823799,1254601348","8049498838,307738485,143997940,635414588,323924604,619134161","3328766270,1428681897,1855702237,2388464370,2307386656,5830106607","22628911079,1917770070,916371112,1662302586,1376615311,1371968993"
RESOURCE_STALLS,"2401532463,2367066539,2427394127,2752697257,2742638979,4348035066","19901742113,17439647726,6620336151,8624867273,5592936639,5174838202","7159117271,7677261163,7778050089,9063118324,9030488596,15746191505","54301010037,58616863248,21217288968,27670769289,18683565467,16165426212"
L2_RQSTS:ALL_DEMAND_DATA_RD,"126479266,151038490,143348309,143825106,143542514,139641636","992256841,1448939228,478874167,585630297,355666638,252218430","311094740,393937427,387164791,385989790,386488561,377588303","2430194745,3759643524,1279282953,1581522585,927775169,663469813"
L2_RQSTS:DEMAND_DATA_RD_HIT,"63307745,138603503,132597893,132689513,131461563,111090632","670181518,1416169226,469339333,577165201,340441150,246674044","141726555,239808249,312271796,315089305,322096212,271480384","1544386227,3148936252,1156349244,1429797361,857194943,618215002"
L2_RQSTS:DEMAND_DATA_RD_MISS,"63102139,12417582,10727485,11155700,11919795,28466556","317098966,32697980,11509745,14745939,9779059,8680365","169652738,154159289,74987142,71368709,63962005,105309211","885256307,610796185,124389388,142264810,84994866,60868090"
L2_RQSTS:ALL_RFO,"40501219,58347643,59533993,59020770,59547012,82513941","396095154,549678571,185110499,219681888,122617955,92710989","98363148,145800579,147441209,147193484,147863338,205016751","999130073,1415508113,476281156,566577471,313236551,236911191"
L2_RQSTS:RFO_HIT,"35869856,38713026,39290902,39205281,39288718,62640648","280134517,362850668,121844266,144995215,80965844,61123384","88858563,97172449,97325477,97287181,97360547,155657746","715354126,931875795,313655819,374327031,206611117,156691567"
L2_RQSTS:RFO_MISS,"4664803,19624516,20255435,19821674,20257036,19880898","115838409,186869864,62996299,74033677,41879080,31666684","9565490,48643794,50112950,49902460,50465772,49382557","283789808,483617245,164020332,194528564,106238340,81644230"
L2_RQSTS:ALL_CODE_RD,"298306,1650067,1941188,2043863,2124259,5007665","1855441,9921980,4386758,5246966,3487699,2922872","549131,1812028,2171066,2328773,2507251,5785037","3681498,13504282,5418671,7145258,4622463,3675905"
L2_RQSTS:CODE_RD_HIT,"4095,105510,176252,217456,255786,490892","24203,514059,365414,420873,419801,503834","6951,93591,109459,135236,179986,340649","29661,583796,280917,357053,324662,284815"
L2_RQSTS:CODE_RD_MISS,"294420,1533404,1768182,1829333,1869609,4534232","1829611,9406424,3997151,4967474,3144157,2407012","547295,1698116,2065668,2225603,2351528,5491241","3625213,12790904,5175322,6558396,4482850,3540860"
L2_RQSTS:ALL_PF,"392281087,424662183,409074513,410344247,417106044,486500459","5259439454,7069267080,2344320072,2781714230,1543429430,1159085685","997089856,1056244751,1063637470,1074205623,1094461755,1242995007","13729033135,17935653816,6049322630,7220062572,3988847928,2993529824"
L2_RQSTS:PF_HIT,"308486718,317921353,312090073,313592779,318422548,302156980","4690953494,6143706127,2031721449,2414440352,1343796422,1001433129","777922454,753578588,779798892,782942314,789656527,737229922","12208723736,15320553868,5170418875,6156923688,3389217798,2555908110"
L2_RQSTS:PF_MISS,"83682674,105792809,96755341,96616230,98897060,185069528","566797565,925713714,307208776,366361360,206249931,152272206","219560000,302502797,283551007,291526127,306003161,505182323","1517016026,2598119556,860630613,1060101567,617123986,449498062"
L2_RQSTS:ALL_DEMAND_REFERENCES,"167151823,210958377,205156292,205107208,205128596,227044345","1388005906,2019200479,665753453,811043385,477932812,349881543","411247707,541317868,537620890,536963398,536440109,587347494","3433112216,5188752092,1754936512,2149363681,1260070316,919078713"
L2_RQSTS:ALL_DEMAND_MISS,"68055355,33595682,32874045,32840954,34107646,52976214","436398908,229324825,78440720,93362190,54975647,42904465","179640158,204466436,127409245,124419975,117040065,160458732","1171235683,1107569987,291880263,344417073,196019544,144681239"
L2_RQSTS:REFERENCES,"559319762,634702046,614178066,615332054,622283498,714794469","6637699186,9086595399,2999417201,3599532950,2035886177,1507670474","1408671215,1597222094,1600866305,1610526536,1632170419,1830077695","17160634849,23126013772,7782420207,9378784335,5262772915,3884907061"
L2_RQSTS:MISS,"151755029,139411212,129662303,129542061,133422394,238163310","1002561512,1154743939,385273762,461206621,262054823,195832761","399332838,506561845,410871225,414747823,422175705,665659968","2690413584,3706011096,1151846893,1403875634,813500733,598070723"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"68466049,14099720,11917027,12240637,12983039,29854673","336977165,38517120,13124079,16698427,11288014,9985376","185740390,173650175,86031982,82917455,76329788,115588450","947003089,697390753,144305762,172065168,105098741,75818180"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"5548992,19834952,20645416,20085621,20667583,20139691","123857582,188651101,64119912,75111073,42912107,31883654","11391394,48814636,50605775,50408240,51151861,49896899","308322161,485091335,164143369,195605176,107782691,82145539"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"292412,1556998,1771515,1808473,1869603,4506404","1826688,9439020,3806118,4922661,3097589,2340022","547097,1695764,2051091,2178611,2310299,5475990","3583346,12804344,5194669,6733218,4390256,3487702"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"57902273,55544803,45962807,47114485,47777848,95546471","377309414,543484120,174199582,209969711,116000045,86915826","153382104,161863734,149528346,155335094,168590956,278819663","1025603656,1508675563,498454992,625316813,363353920,262252592"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"3799894,2009229,5212763,3710511,5121148,7692574","30933805,11549055,8891297,12470539,8993139,4110876","7194482,1798663,4325476,6065547,5881837,6421579","62869230,10637620,7555787,9515850,6921479,6001315"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"16454424,46493446,43973852,44203806,44047974,80810466","131238030,362806198,119734522,142487939,78797685,61162132","40988357,118615487,117634860,117781266,117391337,209765043","345533670,990910700,333086730,396163966,219539598,167704444"
Runtime,"1.11318,0.31459,0.125013,0.0971738,0.0708143,0.0758836","10.9948,2.95827,1.13827,0.810664,0.581605,0.540788","3.06933,0.921053,0.342441,0.260194,0.208643,0.218903","29.3319,8.68969,3.20387,2.27788,1.68529,1.49783"
