,20kx1k,20kx4k,50kx1k,50kx4k
L2_RQSTS:DEMAND_DATA_RD_MISS,"62205273,12693553,11083986,6771248,7599642,28492881","315557171,32935573,11158306,4396332,8343960,8875465","168554220,152456187,75238885,40598474,37332572,108131236","878244002,605827077,119326352,40279524,69016892,60335025"
L2_RQSTS:ALL_RFO,"40586359,58363909,59507828,36169817,37783771,82508878","395880461,549599275,185950148,86918344,123114388,92062708","98344200,145873397,147584653,88767828,93047822,205056442","998672337,1415350442,478110762,226881091,319895625,237314326"
L2_RQSTS:RFO_HIT,"35887875,38731692,39289781,23841854,24952369,62601301","279749734,362838828,122028587,57525892,81404861,61110324","88855910,97229718,97414488,58399091,61450652,155663784","715008768,932164369,312570302,146853865,208982034,156821179"
L2_RQSTS:RFO_MISS,"4735693,19648564,20222118,12267373,12773918,19875901","115890377,186765479,63436935,29971401,42017190,31835952","9507116,48656137,50175512,30244192,31705581,49378929","283746963,483173537,163779383,78458359,109292714,81623070"
L2_RQSTS:ALL_CODE_RD,"297098,1487678,1922403,1232577,1443701,4965451","1774009,9729521,4166262,2158953,3436934,2956802","538137,1723906,2151951,1398913,1676733,5671727","3997842,13253580,5299960,2639867,4569736,3738773"
L2_RQSTS:CODE_RD_HIT,"4108,67622,160144,186383,305170,434525","19389,475374,309825,296109,580286,457113","5989,73589,91885,146848,259023,318862","72317,559593,273268,238571,494007,289397"
L2_RQSTS:CODE_RD_MISS,"293321,1414730,1755209,1052480,1135211,4521729","1776013,9240893,3860023,1801950,2824970,2435668","539234,1657160,2045293,1264679,1410610,5344758","3937876,12595435,5036025,2364635,4058159,3542306"
L2_RQSTS:ALL_PF,"393781905,423387468,406872119,249218132,258574316,483827296","5254554093,7068425177,2342951952,1111352795,1552063927,1161586382","999345128,1052583898,1062339385,633667081,672581249,1245788019","13728844352,17845710299,5994857302,2842704324,4019623160,2999239468"
L2_RQSTS:PF_HIT,"308972401,318103336,309886835,190482299,196219933,301668004","4685489062,6142791106,2040010507,961298623,1338902443,1004258089","778245339,749211448,779029041,463298411,480311590,737566854","12207113045,15243853819,5143578918,2432042288,3432074948,2525225810"
L2_RQSTS:PF_MISS,"84668924,105421947,96734745,58932690,63192083,182130356","569162438,925503008,306462926,142420387,205055383,157834607","221219248,303126254,283665765,169812390,188444638,507766896","1523902518,2602289200,864530163,393823820,602184262,459366066"
L2_RQSTS:ALL_DEMAND_REFERENCES,"166676777,211002944,207685807,114962868,119043569,227570925","1388055380,2029725081,673700303,301833269,456457124,352588524","410427837,545308531,538208181,303184649,308879807,589649889","3426387136,5257776166,1791460932,791764637,1221257128,938274093"
L2_RQSTS:ALL_DEMAND_MISS,"67232498,33762283,33095905,20206642,21672636,52879873","433682187,229013741,78575419,36199212,53306053,43202795","178302525,202772648,127252325,72152280,70831728,161625820","1165706800,1101603587,289179448,121702675,183325353,146696424"
L2_RQSTS:REFERENCES,"560254168,634365944,614538020,364460104,379956209,711410816","6641748333,9098025939,3012763981,1406208273,1999073793,1516698623","1409696772,1598148710,1600821037,933912502,980360190,1835459699","17154876898,23102171343,7787724707,3626756086,5237270843,3917078112"
L2_RQSTS:MISS,"151856393,139166867,129707736,79051911,84518566,234984596","1002254625,1154651619,384804617,178363397,257268620,202430239","399640859,506329230,410913042,242694898,258829294,670403050","2690131265,3703689522,1148328116,513914672,784272077,610636911"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"67952036,14349833,12156621,7368868,8065526,29706877","337273779,38405316,12950212,4829842,9760070,10254154","185057610,172857983,86961404,46139252,43524007,117096312","944064509,694923641,141729718,46281234,84960181,74096902"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"5327354,19851810,20622686,12296876,13082095,20137545","123792112,188527342,64242663,29850617,42529900,31891550","11426163,48826249,50637641,30577560,31974838,49857720","308505497,484566642,164824206,78818893,109972835,81909056"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"293804,1419544,1759736,1051919,1136137,4543851","1749869,9233093,3849996,1832963,2848539,2419648","530204,1667641,2051078,1255219,1414629,5342557","3860679,12580729,5041395,2378439,4078522,3591093"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"58237544,55531686,46067066,28573400,30714282,94888136","377893987,546069401,173970565,80795803,115261842,88006946","154391551,162861729,150019910,88437534,99968347,280390899","1026415305,1507951376,498472121,223263244,348790038,265939864"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"3777945,2068325,5301358,2283837,2564216,5546475","30953446,11364744,8845081,3085039,7034463,8681756","7267380,1719025,4386824,4336716,8885899,9505180","63137042,10483810,7109068,4066294,10725408,12976248"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"16297221,45852154,43779070,27349800,28775643,80099718","131381926,360468277,120374945,57464805,80681404,60414081","40988308,118265809,116805840,70764793,74291418,207634945","342866146,992277145,332390673,160278108,223767345,166082786"
Runtime,"1.11102,0.315584,0.124535,0.0930561,0.0792729,0.075647","10.9384,2.91035,1.10632,0.795975,0.604299,0.591951","2.99977,0.928599,0.339835,0.250569,0.208081,0.213709","29.2292,8.61958,3.16747,2.30126,1.76996,1.50113"
