,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"464561952,270720361,273734026,293332534,414602721,571691809","5929009253,4294959983,2802693599,1719899299,961483326,667870801","1166388328,694217175,748423113,746115429,1038869645,1456809253","15311045359,11162472858,7393515138,4391807184,2350851810,1697121457"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"91096184,57299566,61341808,66490658,102842154,184456916","659160897,417941993,275468197,184686664,115568025,103214343","227856559,153107366,155446317,163797208,261346843,463471190","1694149422,1132460440,702636944,439234297,282103403,250267504"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"307032,916326,1153341,1322097,1790017,5207329","2029984,5512894,4646468,3244729,2433131,2444657","584560,1056918,1337000,1446951,2063074,6272218","3813058,7480161,5929437,4294549,3045264,3016875"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"68753862,7081849,6032417,6616601,9518116,28480520","340321313,18819258,13939994,9622954,7617134,7565768","186061555,84922668,50826646,60792034,67095863,117408266","945875311,339909678,149954939,116723287,84455416,91815427"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"17472229,2210765,2172488,1900363,2805678,9808639","150600851,2888945,1827834,1102829,1163877,1180059","61335426,8375935,8314237,8080923,12834554,49726640","456184177,9824439,6608393,7431891,7418922,9806122"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5347018,9959909,10090007,9900138,14739735,20553168","122944167,97882234,66161838,39480454,21604272,15934643","11325689,25632509,25825582,22930919,35787718,49806507","307608148,257255065,173315507,99632466,50808676,33623943"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1334255,5300951,5641995,4837209,7560497,9728957","50870317,63755646,47501629,28897960,15817062,10011638","2228995,20600909,21707212,19027729,31539660,42514961","122801554,225536691,158212449,92045297,47223667,34211955"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1570405762,898295313,905738497,912236368,1367574779,2111264228","22456465434,13374488799,8901521603,5229622591,2825031660,2070014457","3959296144,2399668615,2373151978,2171321728,3453992402,5332292645","58444044354,35981061927,23529229353,13845512754,7210111134,4964188160"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"18329,11701,16740,75355,26683,45615","42863,68774,66275,52959,38118,35726","18021,10185,19530,19194,29697,58279","30533,85947,64173,57659,61264,40808"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"91096186,57922174,60617638,65589439,104414747,187077385","659160898,421489556,282440830,181054759,112816540,99039022","227856548,152862248,153650059,158179754,259204895,460198671","1694149426,1131414614,716513920,444406831,277208416,244275197"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"145,448,1316,1113,1279,1156","288,496,1425,3243,3402,3943","53,310,923,849,1265,1324","557,498,1221,2142,2854,3791"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2147754175,1131566959,1159982055,1260759387,2161219809,5419075298","14676550536,8748722877,6254718309,4139095224,2741188146,2713624541","5390784759,3466338371,3704493406,4316254645,9042381178,22461065052","39601683260,25446686981,17903731614,12975486373,9821968473,9555176454"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1862778486,450683135,536797944,586738566,1148818327,2921801352","10603155277,893481395,932158205,697674561,698679631,936496622","4710895702,1937360449,2021751592,2384788573,4883530052,13195492828","29891696512,5331212696,3730766590,3102870887,3157543962,4456777585"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1171930862,310292410,305486970,306303685,532265595,1798130998","8124370555,364805389,299347958,210805311,216088429,302479847","3277201455,960028515,1100983665,1370913404,2722480343,7988049480","23328440482,1306275180,975301967,1100469447,1569009704,1871345158"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1403119989,755681422,804664233,853924026,1644769779,4310342652","9892269270,3748697611,2899544689,2169580824,1579002464,1998635070","4165755423,2492284069,2641264436,3261918465,6943952119,16432730562","27217015654,13298035763,9437685382,7952611869,7167023458,7755110863"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1306602405,359543932,446821591,479105100,970511580,2549834407","9685212460,634515358,818961470,572776921,587882233,860292489","3894683700,1492341447,1604561775,1963060978,4132423769,10055102121","25136676686,3894421299,2785678762,2431258993,2611562268,3748681835"
CYCLE_ACTIVITY:STALLS_L3_MISS,"936292813,277671307,265054786,277595058,487310483,1637248532","8074832051,296621546,277485014,191275353,193384397,297642685","2887696446,832590365,979576592,1214657570,2439386585,7444250377","20592268380,1064139596,830964395,1091785729,1413290319,1673574075"
RESOURCE_STALLS,"2371346507,1355870054,1304177639,1372229364,2159921933,5779528447","19637315125,9859474123,6848573930,4635563286,2831479432,2889466420","6598735616,4205915757,4192083295,4788676380,8891809895,20589099538","50915145828,32383427114,22126906670,16428494384,12015960830,11235530777"
L2_RQSTS:ALL_DEMAND_DATA_RD,"127760241,76418880,88810960,107524621,126753810,140124215","999120535,743235063,511169110,336832684,217848109,185044066","315576228,197755804,236042340,277338630,340501251,371330304","2434719875,1930429183,1358865601,898897427,639386930,546692559"
L2_RQSTS:DEMAND_DATA_RD_HIT,"62800174,70007062,84179759,96428650,118407823,112753195","672847266,719340664,498521657,331568012,209455520,166168371","142037242,123363485,192169090,219441137,288934166,272027003","1539262217,1650509606,1222423807,805711627,529150002,455800822"
L2_RQSTS:DEMAND_DATA_RD_MISS,"64997197,6278003,5440189,5643991,8491250,27275276","326192015,16720047,12122407,8498605,6173706,7485290","173654112,74529783,45175612,49369037,52217898,100193706","895109681,293682825,117668234,87679689,72320851,64406590"
L2_RQSTS:ALL_RFO,"40526871,29679511,29406706,29594753,42082038,83043057","395575969,283967084,190117412,113811714,61299915,45795068","98177832,77711163,75587992,71428261,104415509,205175829","997976107,756078953,504277518,290369260,153716252,104361411"
L2_RQSTS:RFO_HIT,"35795682,19783533,19683563,19886856,28170589,62914849","279933253,187094628,121957458,74953818,41021003,31859493","88799278,52154616,50092813,47115073,69075618,156128418","715086628,495388352,332045402,194221715,102205462,74927964"
L2_RQSTS:RFO_MISS,"4730180,9899196,9428734,9809404,14253052,20118409","114665613,96620989,63684096,38287941,20607819,15294920","9352321,25764426,24824304,23541508,35594351,49151226","282983909,255467624,171974336,99798888,51820346,34982418"
L2_RQSTS:ALL_CODE_RD,"289476,851661,1105727,1286270,1692229,4999286","1787078,5240485,4343196,3091064,2240578,2216867","542913,1058482,1314427,1345939,1948048,5867826","3714133,7477056,5685577,4029572,2962523,2783371"
L2_RQSTS:CODE_RD_HIT,"3712,41032,119151,137036,195172,460307","21859,309431,301369,234900,300825,398883","5057,64016,67260,69296,133695,343182","29621,321336,254377,205496,171659,233690"
L2_RQSTS:CODE_RD_MISS,"283756,755004,1017254,1137348,1508392,4532783","1798864,4897446,4060211,2833362,1969055,1867628","536344,987170,1246061,1289762,1805096,5504231","3763436,6849203,5395421,3820313,2848861,2598218"
L2_RQSTS:ALL_PF,"388950883,215745366,198533612,213535624,300706865,482580833","5224450534,3698613300,2390012982,1419270443,752361412,532735946","991969163,564621690,561481263,558836657,805364015,1250251246","13715161017,9572372375,6371451637,3744659095,2022904769,1415780519"
L2_RQSTS:PF_HIT,"306786681,161466856,153085129,165489551,232704047,298346321","4669606746,3212080375,2062001309,1220633283,642980059,468799112","775713601,400362367,407365396,396727584,585732502,739583463","12208998247,8176370182,5427504499,3152959302,1618453501,1126148429"
L2_RQSTS:PF_MISS,"82031570,54612789,45647778,48997461,70953021,183591574","555105128,475993900,314920206,189584390,103694691,74946455","216246000,161850925,152818491,157490624,236082655,511043042","1506044809,1379750450,906006350,570623129,347298066,274035486"
L2_RQSTS:ALL_DEMAND_REFERENCES,"168564896,106532802,114844372,134794442,171887654,227997896","1396649002,1026169558,701548837,461917662,273532408,239567221","414151429,270966792,321775050,344019863,452813594,582216806","3440676635,2686229487,1819763780,1206751933,759606503,589579492"
L2_RQSTS:ALL_DEMAND_MISS,"69939924,16758233,15649972,16623671,24373203,51864386","443653131,118643929,81200273,50180825,29473890,24710929","183205043,99529440,72362804,74061805,88345466,154356756","1182030812,554101402,281113772,199013708,118483801,111477856"
L2_RQSTS:REFERENCES,"557615700,321472391,314588987,351899869,477699301,710178765","6620940438,4702627850,3108422978,1891603315,1024877112,800269301","1405900511,807855135,883728450,894683469,1248899857,1833906331","17151297162,12243147203,8142360127,4915213512,2775169412,2021097821"
L2_RQSTS:MISS,"152050237,71417095,61805390,66121216,94790228,235544816","998934040,595990135,393569784,239699519,134030129,106476336","399371891,255098842,226408554,229796382,322998223,665543165","2688207151,1928576267,1193437558,761528096,451125857,379681513"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"68822552,6872428,5941405,6581672,9469891,28192829","341529979,18943520,14041253,10743516,8399943,9301081","185796366,84025971,55271215,58991749,64279840,112769771","945395934,341293558,128212221,129913625,86487131,99542253"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"5355694,9973608,9559949,10037495,14755389,20578094","122194093,98337863,65526554,39646293,21223133,16094041","11324773,24654370,25289518,23747983,36125738,49768707","307564603,255502767,175284839,101388046,50550141,34712639"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"286030,750840,999116,1125444,1525224,4540924","1784645,4983236,4094305,2902347,2054881,1783507","527145,904366,1232481,1234789,1808621,5512106","3804476,7405435,5322759,3665265,2788812,2644015"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"57405418,28849044,21601130,22992430,33553680,94634029","371771530,278672250,177120550,106123610,58143516,41447546","153152335,83544788,83066078,85775244,131829767,278876658","1025570273,792149644,519181086,327941764,206227223,160380630"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"3796038,934485,3083530,3690444,5248326,7208129","30988820,5414369,9166170,7728141,6009505,7679443","7284519,832295,2423690,3251401,3903714,7257263","62767713,5181068,6415951,6369647,6366677,4786522"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"16423352,24031598,20899229,21678969,30435605,80367993","131508359,191517638,122715148,71850807,38575929,29188995","41424277,60013675,60656531,57780360,85797527,211270227","344156572,531987406,352698562,205892004,109369309,73860148"
Runtime,"1.11149,0.346696,0.140399,0.0884085,0.0727736,0.0769121","11.0683,3.15404,1.21199,0.768389,0.56785,0.540103","2.95816,0.981156,0.374977,0.252047,0.232786,0.265692","28.7122,9.27747,3.44721,2.28651,1.78466,1.65282"
