,20kx1k,20kx4k,50kx1k,50kx4k
L2_RQSTS:RFO_MISS,"4838172,9671198,10042035,9812548,14335494,20063388","115083706,94366574,65712900,38578180,20336193,15631175","9401872,24795929,24816521,24226072,35275709,49031967","283069662,251928274,171446964,98806350,50943301,34625474"
L2_RQSTS:ALL_CODE_RD,"301144,792463,1097894,1259302,1761496,5061712","1702940,5121951,4449634,3059930,2305614,2218462","555765,944938,1265390,1377370,1972969,5911696","3644726,7440222,5835007,3867438,2902388,2842152"
L2_RQSTS:CODE_RD_HIT,"3758,42477,108634,134878,196590,458832","23896,281325,308876,247419,301372,402758","5435,46001,58835,68868,131203,356250","27569,351514,282980,199121,166553,228494"
L2_RQSTS:CODE_RD_MISS,"298369,744939,982951,1106975,1526458,4602784","1666756,4864188,4085950,2855964,1978499,1946058","549473,906055,1216609,1323310,1839323,5558029","3580967,7014735,5663571,3681221,2650906,2589618"
L2_RQSTS:ALL_PF,"389543094,215251956,210816706,214372692,306422217,482831153","5243577376,3575521188,2432221620,1451336685,735559171,554319936","991175311,537032882,557304697,571855942,803575488,1250924484","13716880709,9368769056,6264633532,3662517153,1998780039,1341368934"
L2_RQSTS:PF_HIT,"307379908,163062787,162060130,164822256,233985853,298912043","4681658687,3122642395,2100984891,1254865584,647525968,449891080","775293698,380479277,405438509,409238546,572732791,738443071","12209618363,7974939539,5410287805,3106998896,1586534667,1054174090"
L2_RQSTS:PF_MISS,"82205158,54552660,50110055,48966760,72416256,184577015","560551018,469240449,314865482,190122687,105721805,78129710","215749295,155097167,152561657,160657405,231275105,511442435","1508086877,1349896307,917881810,569798787,351701298,277797673"
L2_RQSTS:ALL_DEMAND_REFERENCES,"168080720,104999206,117199994,138971680,172514435,228072989","1391855795,1031009556,692816964,451213665,272279143,238595474","414995297,273266403,311248268,358497958,449084066,586307872","3433668365,2700393624,1910331770,1246744383,796513229,643758783"
L2_RQSTS:ALL_DEMAND_MISS,"69775723,16831977,16749758,16737968,24329798,51796994","443795094,117408053,81237882,49953828,29267209,24422568","183617273,100840846,70066836,79027866,90171737,155577228","1182586469,562417636,308665356,197749265,121748896,104322903"
L2_RQSTS:REFERENCES,"557671660,321823463,328037296,356432305,478591057,711329467","6632547117,4671615514,3108302534,1879928732,1058303519,788995869","1406037722,800456224,868458441,925484247,1249612306,1836619541","17159982039,12016868548,8269317825,4899654602,2771664168,1971255731"
L2_RQSTS:MISS,"151984575,71871416,66299549,65678891,96256958,236251825","1002908433,590659469,396611824,240509326,135500657,104958981","399415354,254262142,223157273,239697300,321429650,666192595","2692155064,1912720834,1229729817,767421834,472908930,389886020"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"68486551,7008628,6179213,6612468,9402757,28348725","341170010,19288620,13278152,10077057,8068375,8786239","185697408,84321945,52349338,66079282,65614512,113129104","946644623,340765830,153646136,117850621,80276319,92627903"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"5437445,10144535,10157663,9961004,14790291,20528917","122735611,96238489,66146965,38770963,21198644,14968927","11307807,24262211,25337284,24393863,35749532,49615209","307339137,252079932,172390432,98766182,50723688,35135320"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"314279,764313,992113,1127324,1539403,4625181","1693701,4898371,4036505,2900605,1929106,1949693","554532,888316,1214341,1338715,1834168,5575965","3582178,7018055,5632027,3775971,2857805,2652301"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"57408950,29162334,23314629,23045216,34338333,94240745","374160772,278897774,179743332,106323452,57439239,41953321","153916297,85028399,83612985,88816588,130151220,281385333","1025452535,785959909,533688195,324188185,215556067,173898154"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"3785528,924753,3439261,4296053,5581604,7835482","30892427,5358941,8450104,7438759,7054700,6656603","7253468,930200,2331950,3517870,3761809,7543937","62922425,5272860,7250019,5986347,4689234,4953252"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"16502333,24142086,21608498,20639071,31129719,80647632","131837282,186021270,126927534,74703515,38934117,27140264","41230041,60825171,59650206,58610953,83764090,209091420","344587684,520279032,352175235,206025590,109063806,74563612"
Runtime,"1.10246,0.349038,0.139105,0.0896792,0.0705442,0.0782367","10.8281,3.15722,1.21025,0.776964,0.58539,0.541445","3.08731,0.985073,0.371511,0.257312,0.224629,0.255698","28.9675,9.31127,3.46409,2.25878,1.73594,1.65677"
