,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"623924342,822480174,837505563,853887370,898014631,904648281","7162615125,10113349529,10168439480,10234749004,10429509097,10505175804","1576418284,2075149301,2115965398,2164085809,2241490392,2341218965","18673675392,26390235791,26541060283,26742320503,27161969916,27430472838"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"197835798,201898262,207036243,212033199,220185728,228245714","2238383885,2260818791,2279191437,2296658006,2337907079,2371535766","496230815,503559207,513141072,522184605,537859129,549491587","5796396450,5842331446,5878208529,5906585144,5982788905,6057134371"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"180284,413139,623538,866141,1300903,1514352","1595594,2508479,3834884,5547222,7960634,9913353","367235,784485,1046482,1322189,1831540,2184254","3762684,5973116,7783420,9091842,12277908,25969635"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"79642032,24802395,17040108,19077382,25994309,31145580","318326917,134367758,114166721,126426749,159613931,198271726","203346959,101303281,100852874,107989055,112774422,126990894","883245536,521625235,502377962,525204537,566487893,655784360"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"3932425,6944124,7589470,9068638,11623823,12716406","54209568,61648758,66002123,74428521,93619984,111963120","15878345,23550087,29709285,33960496,39772463,46967086","152338138,181320368,222028632,237548085,280838464,335441385"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5520406,5476314,5358190,6306912,11002022,9395850","64401075,56421004,41360861,46457942,66154369,82179300","15732399,12295063,14042097,16978240,21884376,25508662","160728092,138797440,90120878,106317851,125055318,160105768"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"155854,3845811,4340997,4926708,6764259,6546534","1003272,17143720,27006051,33131816,44367170,50291148","355287,6061856,7535551,8340809,10792800,9052799","1517815,26683880,43011949,55055242,70528617,83210292"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2097516839,2548186308,2567066397,2622593967,2746600552,2887030134","28360754224,34661071141,34730763355,34979553749,35559437074,35995657981","5294712327,6429704533,6481336765,6621205136,6943628328,7264030824","73926124941,90345228348,90522588595,91153182609,92583490143,93711331662"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"51,8436,9123,30490,113625,185354","2902,6349,21722,77919,541187,779503","284,16684,50854,84606,270086,344258","15754,19442,38011,364457,2119631,2109127"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"197835803,201920558,207042150,212038631,220208339,228135510","2238383887,2260926862,2278807915,2296767913,2338074365,2371944868","496230816,503539769,513142885,522291565,537882324,549257624","5796396450,5842351133,5877708640,5902331861,5987001802,6057724666"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"98,592,750,454,1412,2290","593,646,1056,1670,6404,14195","59,488,726,452,4420,5308","2409,2421,1862,4579,40836,32988"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2580497375,4188687831,5423191494,7375716823,13551180717,15538410247","27438946515,50556860801,66917048813,110183161057,139591490989,186311972553","6901705767,11817713236,15686855285,26817444254,31580329480,33143550107","70558559265,139486544361,227923917685,254054182915,364679657502,517987047657"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1377868644,1503624410,2166803641,3433274584,7646923185,10694744941","11918139762,13084342569,18311823867,36025569947,52964813767,82058728075","3852223686,4675518941,6769396722,12813082633,17501292970,20840837378","32223319241,38619467145,66019478143,80701960118,136602187784,225252779768"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"488602639,956027738,1360643603,2073995249,3455690287,3624195456","7180892219,9886561925,14396147702,31106904453,31311217628,38923029718","1606519938,2915427575,4509309948,8826348240,10273840427,10235124983","21342439065,27994197689,54010883213,64229391335,89038775222,121233178580"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1701729649,2301989621,3457476739,5535459682,11411540207,13086368524","17943313178,27639581743,43848667552,95786195654,109099660491,157166697052","4634280284,7193016276,10884144865,21721142623,24512103086,27413964536","55276960453,77383111637,165831811522,191840075150,299045896286,448879065905"
CYCLE_ACTIVITY:STALLS_L2_MISS,"988744605,1210316449,1858656998,3192181626,7293118025,9790219004","8681030405,11206050625,16451040553,37023120475,50019848634,79013055522","2851914083,3877566346,5827206580,11757523276,13364895600,19548239131","27001503985,32730441833,60199184425,73987737741,130428902093,215275389132"
CYCLE_ACTIVITY:STALLS_L3_MISS,"436339924,872503846,1240408663,2024861149,3321942776,3470742073","6149002948,9311677732,13584683944,30142259121,30239591116,37809454459","1432850992,2564550565,4154869312,8408220344,8067163166,9773838193","19861142554,25920290618,51475498674,61517291826,88271755262,117551215503"
RESOURCE_STALLS,"2351006473,3493622005,4596219147,6690507761,10366440905,10964119626","26612002383,41222510061,60224040730,119830784626,125983877861,168648227347","6348785118,9651162253,13692458513,24819968958,23449389442,26921014541","73022380020,110572244165,211378366221,237370866911,387086493207,490277744458"
L2_RQSTS:ALL_DEMAND_DATA_RD,"184477679,237563496,254978117,272869461,311289567,321260463","1060997915,2173832089,2261113512,2361830210,2548638539,2700254548","474571727,615912555,673509477,722621874,808200329,845541569","2715573501,5746587172,6039650314,6267333143,6788733838,7255257063"
L2_RQSTS:DEMAND_DATA_RD_HIT,"120500562,223733876,244760002,260770609,292421332,298738348","802005736,2085417439,2177702182,2271044055,2424513395,2558798037","313025788,557631145,617639754,660457967,739318685,774651567","2001581628,5434424838,5719584552,5924746774,6401675238,6800871086"
L2_RQSTS:DEMAND_DATA_RD_MISS,"64002936,13777660,10032968,12179187,18847782,22617645","258762266,88393193,83456012,92608573,124039240,141978038","161600862,56166323,55849864,62103466,68964695,69762775","712439711,312748480,311538447,334708515,389513037,456343341"
L2_RQSTS:ALL_RFO,"43467226,45986134,47842811,49646592,55295361,54156771","597551552,613910128,634824890,650827287,675182487,680185286","109318111,111617864,117193180,122367773,130619322,129302823","1554781408,1581126225,1628303916,1648325457,1708384114,1749535144"
L2_RQSTS:RFO_HIT,"39226251,42280742,43624354,44301566,45702399,45886195","545087283,570116816,597766903,606525091,615438168,618687512","97227187,104476087,107683503,109559559,112516495,116644143","1423593182,1476958022,1556852370,1561038808,1600447107,1607528840"
L2_RQSTS:RFO_MISS,"4243315,3713558,4261793,5305771,9639242,8297923","52415162,43941825,37123497,43296427,59757336,61596917","12084550,7197541,9537186,12797044,17960876,12650866","131268227,104287349,70625129,87293179,108508853,141630559"
L2_RQSTS:ALL_CODE_RD,"163213,393099,626275,871811,1223876,1468479","1598562,2522468,3719122,5406803,7575341,9721677","355163,801739,995345,1335105,1759316,2026057","3648960,5629594,7802676,8457768,13233747,19766446"
L2_RQSTS:CODE_RD_HIT,"255,25248,46234,60361,126574,218503","2371,86388,205370,292015,477933,907831","444,11098,34857,80165,170914,248426","4553,51778,172198,285163,807992,2703497"
L2_RQSTS:CODE_RD_MISS,"164232,381886,584802,792708,1096037,1247078","1593918,2447233,3736749,5152909,7336175,8762423","355845,723377,943630,1245176,1618571,1813131","3666580,5976532,7623307,8071704,12358122,16136142"
L2_RQSTS:ALL_PF,"678529670,853493412,808567637,802368988,836879838,829930557","8966934566,11157682296,10810218487,10685134584,10812193335,11203123755","1729544625,2234279220,2204066352,2206689346,2274923716,2357812303","23672067695,29540535912,28763514195,28777413719,28657828309,29725029449"
L2_RQSTS:PF_HIT,"465134435,645858071,617483023,598357924,593096784,580441797","6459562835,8774438815,8556380853,8450386638,8502688143,8823327671","1162146330,1552275515,1483997418,1442191737,1419120244,1495432272","17046975905,22614059148,22075936001,21980263598,21811686922,22611699665"
L2_RQSTS:PF_MISS,"213340515,207530492,192431286,203797741,243837856,249561158","2505492104,2383925562,2251226875,2232411083,2310458476,2370688145","567220562,680852431,719614303,764495033,855771786,860131637","6635542750,6914872227,6676356256,6796644288,6844929956,7110950141"
L2_RQSTS:ALL_DEMAND_REFERENCES,"228137002,284185514,303433784,323432718,368064505,377564522","1660580390,2789929049,2905489044,3019775162,3239205493,3389864636","584413318,724806894,792555077,844593488,939316601,977567780","4274019189,7333619771,7667191807,7924398140,8502070353,9017631660"
L2_RQSTS:ALL_DEMAND_MISS,"68464361,18239121,14964685,18064768,29646059,32265009","312740301,135704287,124459812,140990235,192333440,212156332","173381920,62375678,66697674,76092536,88689312,85578250","849821159,418597560,387953084,431832775,509497257,614583062"
L2_RQSTS:REFERENCES,"906792763,1137733580,1112046759,1125664184,1205520124,1207407034","10626490645,13943082856,13706591586,13702395537,14055170925,14595812548","2313921938,2957265835,2995869304,3052436394,3214312231,3328467300","27964066922,36850812074,36412016045,36693840282,37189390980,38739992930"
L2_RQSTS:MISS,"281814064,225810046,206943379,221775829,273441427,281768711","2818793220,2509675260,2373091706,2373600914,2501553070,2584392254","741097722,742445099,786338033,840592072,944537868,945747130","7487365377,7329488972,7065627894,7227864045,7358159631,7717015000"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"79678977,24756820,17527870,18735908,26272531,30823403","318489277,134888915,114284978,126207233,160750899,178503911","202896747,97871879,101262711,108128099,111650870,115915515","882891947,515431095,499777335,530596936,573882221,664077966"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"5539765,5508455,5459040,6287196,11038023,9422947","63654033,56319321,41458374,46503923,65514577,61640584","15684999,12286465,14074162,17088220,22047540,15817674","160912425,137767363,89954748,107448199,123889151,158857932"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"163321,393044,573433,807098,1112035,1253394","1589931,2324186,3482930,5055741,7434145,8571257","362735,789597,961886,1261656,1584149,1782459","3694505,5648242,7417603,7911065,12126870,16115833"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"147235463,148424961,138986966,145133505,166142763,172188723","1964785155,1849323728,1732533630,1647862104,1607043068,1639074815","390471314,496409566,525329714,552109971,617527688,617321134","5141085807,5395759993,5206726198,5210797886,5034527393,5060531434"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"22834534,24280419,21697083,24713847,42930061,37435018","119416006,161664859,179425204,216758589,309436982,297106808","62796890,66281783,74328344,85178450,111362396,110281114","352246289,426923923,424212989,508698436,633146452,727335161"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"26230409,22814016,22460088,24961171,25352183,29637137","352392996,314376417,296012822,325756295,347059524,394596049","69042768,67008326,69292683,75631619,78655269,81835242","930330046,851980414,836983300,857570426,966367691,1069682579"
Runtime,"1.16146,0.483029,0.282003,0.270633,0.310448,0.328294","14.247,5.43963,2.87917,2.88763,2.63065,2.62617","3.05277,1.24658,0.797761,0.812339,0.758993,0.783425","37.6663,14.2346,8.85172,6.67635,6.89889,7.24533"
