,20kx1k,20kx4k,50kx1k,50kx4k
L2_RQSTS:ALL_DEMAND_DATA_RD,"304255354,247613625,308503319,336787034,368575520,385240582","1363666367,1167174380,2329156071,2453156136,2621600970,2769298617","717781533,630229088,865539882,904735738,987005344,1015162799","3389189547,3091346092,6427984320,6609298998,7090504872,7484144542"
L2_RQSTS:DEMAND_DATA_RD_HIT,"184160269,201110998,298817956,325229802,351886652,364866419","890539839,990815818,2273515087,2380403625,2528827452,2653691131","484982436,490927569,748840604,818795565,887042352,926855426","2451562852,2519083911,5930438679,6230276949,6634695954,7064200787"
L2_RQSTS:DEMAND_DATA_RD_MISS,"120014869,46637751,9662961,11602602,16348056,20278920","471131192,176930260,56751918,73408377,91796480,117906153","230378147,139355946,116616101,86451520,99743523,88822311","958357767,573809930,497307917,383948045,453081818,413474362"
L2_RQSTS:ALL_RFO,"27132360,28334901,34124776,33641162,41108430,37226608","322832672,327495345,355984695,361820551,402153194,391382961","67875891,70009935,77242639,78763837,86381587,86871621","832528155,841272179,887129794,908405063,959224094,945675389"
L2_RQSTS:RFO_HIT,"23205642,24668094,27500716,27231310,28997015,28897335","292283881,298208261,325120124,324596547,335642803,337701819","59908402,60657460,63133626,63574781,66036425,68096464","759562792,759960500,818426974,822938577,842846344,849938138"
L2_RQSTS:RFO_MISS,"3942043,3667027,6625360,6410617,12107508,8362989","30559793,29323634,30810685,37498269,65271738,53875389","7957981,9341895,14063290,15178181,20353565,18733248","72551952,81357411,68584283,86052015,116206255,96055799"
L2_RQSTS:ALL_CODE_RD,"162387,332895,395460,552851,763466,953671","1140166,1768012,2261275,3432784,4450324,6114248","346982,652633,725253,957451,1240394,1406371","2857243,4435720,4676053,6427108,8646552,10322143"
L2_RQSTS:CODE_RD_HIT,"1834,7955,20498,41322,86400,152971","3122,38068,87155,207060,396119,820954","2147,7610,19461,65627,155909,237235","6008,40321,74301,284504,787297,1437454"
L2_RQSTS:CODE_RD_MISS,"157672,298712,372182,519433,681283,801112","1145452,1829603,2106391,3174508,4134169,5304196","345836,642488,707174,848385,1076322,1207761","2862753,4312478,4694570,6225245,7830717,8806722"
L2_RQSTS:ALL_PF,"677064406,846368438,900516785,848556751,903547178,890121275","8001394710,9287972509,10254017915,10116723970,10535446907,10486915388","1798884887,2186405220,2454349472,2494697078,2554902295,2622797534","21686728425,24598380920,27731822054,27774339757,28410864246,28307145332"
L2_RQSTS:PF_HIT,"460768093,599432010,720902947,659871858,668134417,657009489","6227146454,7429306668,8708791154,8542557983,8784259302,8692355439","1207763535,1459967460,1611913666,1558566484,1550375754,1572353793","16706988643,19182418424,22122121976,21928905015,22305373689,22033002282"
L2_RQSTS:PF_MISS,"217745681,245308654,179236980,193504379,236522024,234077973","1774430735,1859389855,1545594852,1572757004,1750194974,1800712261","593470729,725268041,841954429,935849007,1005381623,1050971740","4975908786,5415511343,5619265841,5835786021,6105306938,6267259836"
L2_RQSTS:ALL_DEMAND_REFERENCES,"331246744,274874960,343780864,370309848,408226342,424749046","1687322844,1496151528,2687585555,2821504429,3030202881,3170274999","792186582,701204969,948829090,984833379,1074377544,1103695847","4224253236,3939473678,7318100805,7537890529,8055895007,8421938328"
L2_RQSTS:ALL_DEMAND_MISS,"124100386,50504388,16833286,18529076,29100180,29419724","502966135,207336761,89876980,114201426,161981817,176694619","248966300,149875339,131509578,102634585,121400023,109324629","1016956079,660260815,569731892,474964097,577892870,518372367"
L2_RQSTS:REFERENCES,"1006700488,1119519196,1243375478,1227340168,1311497954,1315503904","9690944288,10783280132,12941591582,12934209936,13564451372,13691698502","2592580246,2887167923,3397530179,3478793676,3629459146,3726522716","25911660397,28536555259,35048719230,35290250283,36460808233,36732345616"
L2_RQSTS:MISS,"338778456,295785039,196013504,212130029,265117326,263545629","2278124903,2066815932,1635390186,1686956487,1912040442,1979664103","846268681,875099377,973766981,1038549495,1126807701,1159750684","5998588733,6076494857,6191972183,6311850191,6683694418,6787846261"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"148031947,65881736,16476648,20832512,25807003,30109130","585715842,245053863,82604151,112368433,130189384,160714907","321062984,203080155,186002194,156517404,167225429,155468743","1265848556,820979136,771894320,663118727,722530188,672150476"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"5480476,5294906,9545494,8558621,16143802,9841932","39067714,39235428,43116463,46859119,81133225,60203812","11475696,13447827,18496204,20572099,25052552,23465129","93794944,106950587,86642867,107833032,135211091,94140160"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"159603,319702,367542,508363,675155,787190","1128834,1731445,2143311,3174779,3999258,5199762","352288,638403,710954,889945,1071958,1192075","2890836,4201519,4531915,6133075,7837067,8666617"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"122457651,171916681,133755182,140850498,161248319,168152002","1283263377,1441901572,1237790584,1174271821,1230969662,1260338881","377236971,501484221,594613734,677980183,708724600,768756467","3695724314,4160953614,4304822815,4390789149,4403996002,4670118794"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"37646065,31835626,20753067,21886213,37256987,32230795","154291608,151328221,119593389,164618352,255948840,252405971","87256712,96154738,106890947,109673782,132674323,135564480","386127653,445251218,502453760,571698820,719490852,588853198"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"23381333,20672392,14845167,19194672,24108338,22029190","212817582,185862463,150822145,184286340,208295919,237174553","59317463,59984311,66169002,71222247,90123282,74185445","561611424,533804831,513100194,565929287,685077934,719314935"
Runtime,"1.23535,0.36098,0.190424,0.235244,0.245234,0.297477","11.4523,3.25238,1.87305,2.00321,1.66212,2.10223","3.31849,0.962908,0.544342,0.6151,0.596749,0.668685","30.9424,8.72963,5.11416,4.93964,5.01811,5.29181"
