,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"161679,375392,339148,372567,498895,577998","1176312,2117713,2266013,2596424,3091849,3532646","364061,692152,683781,775704,971951,1048234","2867817,4750161,5199153,5800970,6267937,6597374"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"150053179,91880071,34296235,33903436,36340772,39925371","584146763,436822183,253358341,295336400,191395528,195591861","310253495,302379741,163628906,167888267,175710774,171797688","1301550306,1416904873,964190550,1075808292,825206022,795201491"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"3304650,9393747,7930323,9309862,10369674,12308859","33956249,98154739,89496152,102081665,98427086,100264077","23732935,30239748,26063086,28937167,33103373,36522861","140932760,275631223,247833898,283598790,283811722,286432510"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5369106,5775936,4237180,5361904,7039391,7883940","41468712,100039787,74017878,81185483,44133748,43624125","12071323,14867318,10684600,12720170,16140182,17403232","110647690,262669108,185553246,198932469,102660281,99724818"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"108567,1828626,2807958,3207539,3710527,4155555","636042,8970678,16292608,19585083,25944089,26759238","555860,3419011,5441087,5997005,7076472,7769602","2459713,16685699,27559914,36747144,50247148,53173284"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2069519051,2249299343,2581402788,2614621792,2769921592,2913358871","25536093944,27358695683,32110777404,32246251333,32912662509,33417458842","5223565717,5672759057,6501383812,6579211594,6958559675,7314991786","66582185941,71315206074,83668885553,83986996569,85697069090,86953658508"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"16521,12669,51672,91172,93891,94176","1984,25809,84179,276318,720133,736909","434,1682,27240,216104,283236,209893","12193,946047,893170,1377981,2620169,3407922"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"171125526,174434193,180961690,185508215,193155083,199494538","1414342359,1430984926,1458479900,1472758552,1509513899,1538878234","428210780,433522448,445874953,453807936,467619341,476846559","3651073267,3680370671,3734752494,3758549562,3829748644,3884083834"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"285,236,459,819,863,892","259,5072,1303,4924,5662,3803","285,297,633,1187,5573,6537","1840,14450,26555,26150,58950,87040"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2951900990,5896768694,6423812525,7339180082,9272811668,12737115486","20268581661,47438815457,56552404852,65641416263,83704075510,102763792945","8220968381,16135179250,17804088013,20154253755,28989461500,31574607801","55959655997,127465717196,157825164072,177721409013,294496696727,300145153678"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1910695067,3954595489,3077408487,3747651827,5091160516,9018510329","10156426906,25330812698,21670492999,27813850039,37389552282,54674962327","5497762470,12358338063,10375026892,11658343464,18388263031,21314391127","30101678318,74526328374,69598968984,80942333040,144009199579,157926425744"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"336224219,2469497373,1779657758,2211680856,2806927421,4561348112","3745464703,17936016359,13791068196,17916377864,27177083446,33927371943","2147789154,8385404859,5221082496,6067291036,10563942074,12242669916","14898920764,53442719632,41846793699,49010794979,103725784515,121804199156"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1855717601,4592604853,4756851304,5636616865,6958698314,11189621190","12517942105,34794736048,38967024325,47579282375,66821251022,85616619371","5493940639,12857415031,13460429428,15229298706,24087698022,26521050171","37170807458,95870407764,109849583662,129906969702,250547758452,301392091477"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1299761933,3235711605,2663893346,3316798002,4443608582,8347609335","7381210192,20138525541,18655909875,24288760808,34654986728,51159346147","4033138725,10235302905,8870376724,10038718993,16519242599,19325046356","22632309718,61789226288,59224105701,70067661405,137024622000,176045986666"
CYCLE_ACTIVITY:STALLS_L3_MISS,"299658829,2066766029,1609632189,2019730528,2552052992,4247107496","3568249841,14263710416,12679934549,16742058946,25921260296,32447407033","1847959553,7082613549,4670316507,5509666329,9875382611,11434483516","12743259225,45961912702,37564756440,45454597515,103984571661,118391566292"
RESOURCE_STALLS,"2549961075,5511314297,5898453742,6801180516,7965036700,11260201236","18969104601,45587694685,52041492421,62847014061,88567117501,108825002844","7372335077,15217539785,16163341090,17909440210,28150274934,29418227101","53281937960,126586911383,144968304328,167318890458,345742133913,401639834679"
L2_RQSTS:ALL_DEMAND_DATA_RD,"303951237,275791830,272297363,282205468,301498743,315151625","1411720786,1803171513,1963534250,2037049936,1975372080,1985905509","716812602,690664579,699062412,727350310,773802533,792768914","3407491974,4594681695,5131704727,5387498167,5103578066,5208829490"
L2_RQSTS:DEMAND_DATA_RD_HIT,"183034616,202835997,250211862,260297703,277914022,287364122","938294214,1450778007,1783612979,1828877303,1830086065,1837514413","485236159,458923440,591600848,618499480,658270319,678689276","2419712577,3413097684,4496820613,4646563482,4513999865,4634824075"
L2_RQSTS:DEMAND_DATA_RD_MISS,"120669772,72703859,21948215,21794605,23622416,27744460","473650597,361424729,180382262,207377253,146980041,150978024","231268017,232900183,107557608,109872336,114906236,114034043","989670264,1116157525,658983930,741988916,590216260,577885708"
L2_RQSTS:ALL_RFO,"27149727,25773456,28629955,30496867,33213043,34972923","322117255,303693005,328418458,338292980,367248692,377151168","67572744,61751029,68283201,71574125,77954927,80693272","828465005,773324379,832798840,847641304,925531386,948212379"
L2_RQSTS:RFO_HIT,"23314666,21357144,25516372,26399315,27392078,28335873","289859424,217159819,264460324,267123818,328853576,338660000","58866590,50297875,60739649,62063449,64971409,66558322","742776792,572868212,677786089,677497052,836910854,862933561"
L2_RQSTS:RFO_MISS,"3857512,4433019,3114109,4110129,5813244,6613138","32313431,86578821,63979347,71033806,38427910,38575928","8696700,11408947,7528773,9514479,12910277,14177400","85990647,192650331,155021645,170323786,88251440,85344800"
L2_RQSTS:ALL_CODE_RD,"156836,354739,325485,360149,466640,552962","1135723,1974010,2145228,2492408,2922649,3302395","354921,647085,643594,737032,916436,1011146","2751223,4459258,4935365,5454836,5995804,6540192"
L2_RQSTS:CODE_RD_HIT,"1368,9410,13932,19497,38836,59598","2775,32754,56111,86582,170608,243733","1640,9154,21049,41787,101980,146519","4599,34529,82840,162351,370572,589021"
L2_RQSTS:CODE_RD_MISS,"155666,343754,311114,337956,435533,491999","1125747,1951330,2090157,2424998,2765739,3066561","352019,635559,634801,692379,820987,863333","2771679,4355607,4869979,5301703,5646532,5980022"
L2_RQSTS:ALL_PF,"676870916,785192868,976516190,970563051,964238410,982266620","7986145842,9116819405,11699951243,11628338216,10793522971,10548211826","1823984570,2006246738,2499308491,2475763906,2468045681,2516270261","21519189674,23785648441,30573816335,30449102729,27708625847,27354420130"
L2_RQSTS:PF_HIT,"462359986,507845043,696064078,689706340,670932551,678483275","6218732727,6180372707,9278684616,9071377706,8975617530,8650814780","1207423721,1300887245,1672435212,1622856347,1577646205,1601661775","16531943814,15968559118,23634476714,23155586317,22330004499,21887550040"
L2_RQSTS:PF_MISS,"214523808,278130898,279820866,280664709,293249456,303632296","1769532787,2955129771,2433343785,2523703024,1816550562,1809288363","622712312,707226927,826815423,852772582,890912901,913839721","4975889616,7817751639,6823109130,7287257177,5374951560,5469798484"
L2_RQSTS:ALL_DEMAND_REFERENCES,"330752369,301861436,301089772,312056436,336119591,349691185","1735207651,2089690256,2287086208,2347380424,2345075017,2380348738","781828892,748544242,767696286,800045040,853582064,874700182","4229029478,5396423982,5934049386,6235471200,6052459625,6175057943"
L2_RQSTS:ALL_DEMAND_MISS,"124498930,77565183,25415511,26080635,30193467,34872882","506806868,437875529,248126584,280553784,188207512,197362299","236970957,245356394,115704356,120268350,128442384,129021888","1074941614,1345304354,833247960,917965661,680341822,667481451"
L2_RQSTS:REFERENCES,"1007591927,1087133169,1277909717,1282821925,1300335586,1331753310","9724539276,11264248646,13997875898,13943698434,13139937944,12821917311","2610319431,2757837591,3267940813,3276280449,3322122775,3390056050","25757716732,29227479439,36429878365,36680820021,33815178471,33541166150"
L2_RQSTS:MISS,"338830866,355337122,305180234,306830321,323268101,338616355","2277137860,3323871966,2682265666,2805497417,2004900716,2006508191","858508543,953405652,942591595,973321361,1018750361,1042957093","6064538669,9175943921,7677965337,8213648278,6074306332,6138203982"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"150057331,92569124,34162496,33484735,36550668,40159626","583793248,430827910,255430805,292796949,192706686,200647995","309511989,303891509,167269832,169574504,174980437,171217007","1297544769,1407325219,975601849,1082803830,822339865,802892435"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"5398925,5635259,4268106,5345970,6991738,7878361","41442887,99406485,75202904,78040073,44283620,43873860","12427522,14630113,10712612,12826920,16200050,17468198","109226635,256538545,181695116,190804822,103154672,97114374"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"153867,340181,310098,334763,435628,492166","1150232,1963489,2056214,2376514,2708274,3216930","346178,624666,639268,680999,822856,860658","2790038,4393387,4752206,5081365,5520490,5882274"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"122190494,181998502,210824953,209347263,213868780,222117669","1285953576,1766768877,1706957437,1693687342,1295700856,1258948125","387563740,452293695,605292854,624100276,640947460,661838410","3682367399,4614666418,4830315785,4920858687,3822780534,3872786864"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"37571365,35128787,31611854,33517662,39395267,42231142","157393359,252480209,235694753,235546575,236668689,236489428","87760290,68131939,82571364,89637303,103937596,114354311","407890467,569035544,587635145,614807154,607390866,626085062"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"23567024,40534636,24751423,24573866,25617187,25481627","205571740,768983251,402742477,495017583,231056716,260619052","61998996,112540891,77113198,76103669,80853113,76912261","573897114,2220669753,1083380173,1325359993,706719073,727757764"
Runtime,"1.22155,0.734147,0.367658,0.323208,0.318398,0.343733","11.4569,6.8936,3.14753,2.4194,2.02735,2.18744","3.34585,1.90353,0.93031,0.809792,0.810248,0.816785","30.983,18.1361,8.2612,6.33159,5.9874,5.83764"
